DASHBOARD PERFORMANCE SUMMARY


📊 Dashboard Average Response Time: 204.67ms

📋 Panel Response Times:
  - Panel 10   Top 5 CPU Consuming Process            : 199.88ms (Success: 100.0%, 5✓ -5✗)
  - Panel 11  P95 Memory Utilization Trend  for Top 5 Servers: 259.35ms (Success: 100.0%, 5✓ -5✗)
  - Panel 12  P95 CPU Utilization Trend for Top 5 Servers: 271.75ms (Success: 100.0%, 5✓ -5✗)
  - Panel 13  P95 CPU Load Average Trend for Top 5 Servers: 260.74ms (Success: 100.0%, 5✓ -5✗)
  - Panel 14   Top 5 Memory Consuming Process         : 280.80ms (Success: 100.0%, 5✓ -5✗)
  - Panel 15   Servers DiskIO Statistics              : 228.49ms (Success:  80.0%, 4✓ -4✗)
  - Panel 16   Servers Disk Utilization               : 181.98ms (Success: 100.0%, 5✓ -5✗)
  - Panel 17   Service Summary                        : 119.96ms (Success:  20.0%, 1✓ -1✗)
  - Panel 18   System Core Usage                      :  58.42ms (Success:   0.0%, 0✓ 0✗)
  - Panel 19  Server Network Statistics               :  42.61ms (Success:   0.0%, 0✓ 0✗)
  - Panel 20  TCP Socket Summary                      :  61.70ms (Success:   0.0%, 0✓ 0✗)
  - Panel 21  UDP Socket Summary                      :  41.09ms (Success:   0.0%, 0✓ 0✗)
  - Panel 22  P95 Network In Rate trend for Top 5 Servers: 100.21ms (Success:   0.0%, 0✓ 0✗)
  - Panel 24                                          :  10.63ms (Success:   0.0%, 0✓ 0✗)
  - Panel 25  P95 Disk Utilization Trend for Top 5 Disks: 287.49ms (Success: 100.0%, 5✓ -5✗)
  - Panel 26  Servers                                 : 302.18ms (Success: 100.0%, 5✓ -5✗)
  - Panel 27  Server Process Details                  : 257.63ms (Success: 100.0%, 5✓ -5✗)
  - Panel 33  Active Alerts                           : 308.33ms (Success: 100.0%, 5✓ -5✗)
  - Panel 34  Server Memory Utilization               : 236.55ms (Success: 100.0%, 5✓ -5✗)
  - Panel 42  Alert Summary                           : 268.96ms (Success: 100.0%, 5✓ -5✗)
  - Panel 46  Server Uptime                           : 287.98ms (Success: 100.0%, 5✓ -5✗)
  - Panel 47  Servers Restarted in Last 24 Hours      : 278.75ms (Success: 100.0%, 5✓ -5✗)
  - Panel 49  TCP Socket Summary Chart                :  79.47ms (Success:   0.0%, 0✓ 0✗)
  - Panel 50  TCP Open Port Count Over Time on Top 5 Servers: 158.67ms (Success:  40.0%, 2✓ -2✗)
  - Panel 51  UDP Open Port Count Over Time on Top 5 Servers: 131.35ms (Success:  20.0%, 1✓ -1✗)
  - Panel 52  P95 SwapMemory Usage                    : 295.22ms (Success: 100.0%, 5✓ -5✗)
  - Panel 53  P95 Network Out Rate Trend for Top 5 Servers: 111.28ms (Success:   0.0%, 0✓ 0✗)
  - Panel 54  P95 Disk Read/Sec Trends for Top 5 Servers:   5.33ms (Success:   0.0%, 0✓ 0✗)
  - Panel 55  P95 Disk Write/Sec Trends for Top 5 Servers:  21.79ms (Success:   0.0%, 0✓ 0✗)
  - Panel 56  Panel 56                                : 235.00ms (Success: 100.0%, 5✓ -5✗)
  - Panel 57  Panel 57                                : 236.62ms (Success: 100.0%, 5✓ -5✗)
  - Panel 58  Panel 58                                : 300.13ms (Success: 100.0%, 5✓ -5✗)
  - Panel 59  Panel 59                                :  39.19ms (Success:   0.0%, 0✓ 0✗)
  - Panel 60  Panel 60                                :  79.83ms (Success:   0.0%, 0✓ 0✗)
  - Panel 61  Panel 61                                : 119.65ms (Success:  20.0%, 1✓ -1✗)
  - Panel 62  Panel 62                                : 102.83ms (Success:  20.0%, 1✓ -1✗)
  - Panel 63  P95 Idle CPU Utilization Trend for Top 5 Servers: 256.28ms (Success: 100.0%, 5✓ -5✗)
  - Panel 64  P95 IO Wait % CPU Utilization for Top 5 Servers: 192.62ms (Success: 100.0%, 5✓ -5✗)
  - Panel 8   Server CPU Utilization                  : 295.93ms (Success: 100.0%, 5✓ -5✗)
  - Panel 9   Current CPU Load Average                : 239.25ms (Success: 100.0%, 5✓ -5✗)
